23:44:13.393 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - maven
23:44:13.393 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
23:53:06.233 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - testng
23:53:06.235 [ApplicationImpl pooled thread 13] INFO  com.browserstack.utils.Helpers - null
23:53:06.237 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:54:58.114 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
23:54:58.114 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - null
23:54:58.114 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:41:30.225 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - testng
21:41:30.226 [ApplicationImpl pooled thread 21] INFO  com.browserstack.utils.Helpers - null
21:41:30.227 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:43:04.085 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
21:43:04.085 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - null
21:43:04.087 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:48:45.859 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - testng
21:48:45.859 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
21:48:45.859 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:49:35.739 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - testng
21:49:35.739 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
21:49:35.741 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:01:00.457 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
